epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.2495,1.23523,4.30032,1.43134,0.00484,0.78152,0.11421,0.05834,1.74393,6.27687,1.8483,0.000651163,0.000651163,0.000651163
2,55.8814,1.39589,3.85669,1.52509,0.3588,0.01958,0.03632,0.01199,2.28362,6.35781,2.90454,0.00130913,0.00130913,0.00130913
3,68.2282,1.52592,3.36443,1.62105,0.17328,0.23179,0.10241,0.03765,1.90909,5.18402,2.39247,0.0019583,0.0019583,0.0019583
4,80.4788,1.55993,2.94172,1.61826,0.18152,0.21457,0.09502,0.03364,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,92.743,1.53683,2.62121,1.59278,0.3594,0.39702,0.29621,0.13147,1.73083,2.71423,2.06836,0.0019472,0.0019472,0.0019472
6,105.041,1.52247,2.36731,1.58507,0.29253,0.36648,0.24523,0.1032,1.79879,3.52135,2.04408,0.001934,0.001934,0.001934
7,117.236,1.48794,2.10593,1.5604,0.47188,0.46515,0.40576,0.21333,1.59113,2.08889,1.82852,0.0019208,0.0019208,0.0019208
8,129.55,1.51152,2.14766,1.61103,0.50586,0.46515,0.43921,0.23973,1.62199,2.15685,1.82048,0.0019076,0.0019076,0.0019076
9,141.708,1.48794,1.98889,1.55862,0.49617,0.51762,0.48483,0.23872,1.67507,1.88388,1.87015,0.0018944,0.0018944,0.0018944
10,153.972,1.52175,1.9182,1.55055,0.54865,0.46357,0.47408,0.26121,1.57479,1.90683,1.79059,0.0018812,0.0018812,0.0018812
11,166.249,1.48716,1.83102,1.53779,0.59065,0.45732,0.50313,0.29174,1.51077,1.79065,1.74993,0.001868,0.001868,0.001868
12,178.465,1.44483,1.74716,1.52367,0.6114,0.5384,0.59013,0.34482,1.44488,1.52484,1.63762,0.0018548,0.0018548,0.0018548
13,190.762,1.46353,1.7735,1.53051,0.6141,0.54333,0.58354,0.35028,1.36647,1.58206,1.56116,0.0018416,0.0018416,0.0018416
14,202.984,1.43929,1.65782,1.50335,0.61513,0.58027,0.61619,0.3571,1.37653,1.4822,1.5634,0.0018284,0.0018284,0.0018284
15,215.254,1.41511,1.63494,1.48191,0.58062,0.60689,0.61582,0.37969,1.41389,1.45063,1.58658,0.0018152,0.0018152,0.0018152
16,227.499,1.41704,1.60911,1.47974,0.62657,0.60703,0.62559,0.3631,1.41632,1.65078,1.55341,0.001802,0.001802,0.001802
17,239.715,1.41055,1.57812,1.4735,0.54761,0.51757,0.50959,0.31305,1.44992,1.66984,1.6892,0.0017888,0.0017888,0.0017888
18,252.136,1.43202,1.55287,1.50108,0.69726,0.61081,0.68855,0.43246,1.32494,1.25228,1.50575,0.0017756,0.0017756,0.0017756
19,264.375,1.39916,1.56003,1.46187,0.61903,0.60821,0.6269,0.37687,1.37756,1.50886,1.53329,0.0017624,0.0017624,0.0017624
20,276.576,1.41063,1.52575,1.47746,0.71001,0.62503,0.69736,0.43488,1.33794,1.29889,1.51988,0.0017492,0.0017492,0.0017492
21,288.766,1.36175,1.53772,1.45738,0.61418,0.58962,0.60606,0.37423,1.35756,1.41669,1.53908,0.001736,0.001736,0.001736
22,300.974,1.37121,1.50822,1.43476,0.67382,0.63413,0.6933,0.44603,1.28452,1.356,1.46094,0.0017228,0.0017228,0.0017228
23,313.263,1.36819,1.43996,1.42576,0.69964,0.64291,0.71179,0.44287,1.3388,1.18773,1.49552,0.0017096,0.0017096,0.0017096
24,325.521,1.37816,1.41783,1.43341,0.66739,0.64448,0.70896,0.44094,1.34585,1.13264,1.49075,0.0016964,0.0016964,0.0016964
25,337.746,1.36757,1.45262,1.41819,0.72054,0.65418,0.74151,0.48436,1.24111,1.11425,1.42823,0.0016832,0.0016832,0.0016832
26,350.014,1.32358,1.32966,1.38162,0.7422,0.68762,0.7667,0.49548,1.26137,1.04497,1.44146,0.00167,0.00167,0.00167
27,362.213,1.326,1.36339,1.40169,0.70958,0.63508,0.71032,0.47683,1.27344,1.1385,1.47044,0.0016568,0.0016568,0.0016568
28,374.467,1.31932,1.38037,1.39969,0.75719,0.6946,0.76722,0.51357,1.22004,1.02689,1.39668,0.0016436,0.0016436,0.0016436
29,386.757,1.32747,1.34975,1.3864,0.71465,0.69616,0.75651,0.47704,1.28559,1.1134,1.47942,0.0016304,0.0016304,0.0016304
30,398.825,1.29209,1.29666,1.38108,0.75469,0.63821,0.72095,0.48362,1.26465,1.13778,1.45083,0.0016172,0.0016172,0.0016172
31,411.081,1.26935,1.29517,1.39645,0.73073,0.69704,0.74479,0.47867,1.27558,1.04345,1.44665,0.001604,0.001604,0.001604
32,423.324,1.26654,1.26906,1.36534,0.73337,0.70164,0.76806,0.51884,1.22348,0.9909,1.39621,0.0015908,0.0015908,0.0015908
33,435.571,1.27337,1.21962,1.36419,0.78583,0.6993,0.80284,0.55469,1.14879,0.94812,1.35313,0.0015776,0.0015776,0.0015776
34,447.744,1.24064,1.23815,1.34141,0.75726,0.70791,0.7852,0.54713,1.15829,0.94617,1.34495,0.0015644,0.0015644,0.0015644
35,459.849,1.30521,1.27002,1.38425,0.72524,0.74706,0.78785,0.51451,1.21675,1.01433,1.37208,0.0015512,0.0015512,0.0015512
36,472.021,1.24992,1.23325,1.3641,0.7458,0.722,0.79335,0.54036,1.17625,1.00111,1.36158,0.001538,0.001538,0.001538
37,484.176,1.23794,1.16566,1.34165,0.75826,0.66562,0.76366,0.52985,1.19096,0.97532,1.37793,0.0015248,0.0015248,0.0015248
38,496.361,1.2539,1.19728,1.35379,0.77178,0.71237,0.79123,0.54099,1.13459,1.06222,1.31862,0.0015116,0.0015116,0.0015116
39,509.133,1.25824,1.21117,1.36579,0.78139,0.69135,0.78074,0.54844,1.15443,0.96413,1.34323,0.0014984,0.0014984,0.0014984
40,522.607,1.25969,1.17911,1.34852,0.77999,0.7361,0.81838,0.57139,1.13999,0.85992,1.33618,0.0014852,0.0014852,0.0014852
41,535.859,1.27941,1.13681,1.35214,0.7305,0.76201,0.81342,0.55119,1.16845,0.99788,1.32938,0.001472,0.001472,0.001472
42,549.488,1.23278,1.14533,1.33014,0.79663,0.75959,0.83816,0.58893,1.10676,0.80998,1.29539,0.0014588,0.0014588,0.0014588
43,563.051,1.22913,1.10822,1.32614,0.80742,0.7455,0.84308,0.60702,1.06934,0.79745,1.27175,0.0014456,0.0014456,0.0014456
44,576.585,1.25455,1.15799,1.34373,0.77898,0.77056,0.84377,0.59763,1.08547,0.7869,1.28305,0.0014324,0.0014324,0.0014324
45,589.735,1.20917,1.05275,1.30032,0.79757,0.74357,0.83275,0.58206,1.0983,0.83217,1.28105,0.0014192,0.0014192,0.0014192
46,602.88,1.20388,1.0673,1.30276,0.77785,0.71966,0.80677,0.55645,1.16227,0.87353,1.3399,0.001406,0.001406,0.001406
47,615.916,1.19823,1.12193,1.30476,0.83477,0.77212,0.85291,0.58834,1.12278,0.80172,1.28158,0.0013928,0.0013928,0.0013928
48,629.03,1.2015,1.09671,1.31071,0.79376,0.7866,0.85752,0.61556,1.07005,0.75916,1.28049,0.0013796,0.0013796,0.0013796
49,642.063,1.23082,1.08613,1.33371,0.80498,0.78545,0.86247,0.61429,1.07303,0.74264,1.26185,0.0013664,0.0013664,0.0013664
50,655.239,1.18674,1.02027,1.28367,0.82125,0.79152,0.87137,0.62662,1.03446,0.70119,1.2208,0.0013532,0.0013532,0.0013532
51,668.237,1.21184,1.07077,1.30472,0.82632,0.78622,0.87506,0.63193,1.0318,0.71272,1.22979,0.00134,0.00134,0.00134
52,681.292,1.18093,1.02053,1.29585,0.85174,0.71182,0.84914,0.62413,1.02191,0.7538,1.22225,0.0013268,0.0013268,0.0013268
53,694.371,1.17686,1.06727,1.27816,0.85205,0.76217,0.87589,0.63646,1.01181,0.78956,1.21271,0.0013136,0.0013136,0.0013136
54,707.502,1.15771,1.03999,1.27047,0.83389,0.8011,0.88273,0.62812,1.04455,0.69837,1.23637,0.0013004,0.0013004,0.0013004
55,720.559,1.16812,1.03507,1.2872,0.8253,0.81388,0.88961,0.6537,0.99151,0.67154,1.20609,0.0012872,0.0012872,0.0012872
56,733.767,1.16188,0.97819,1.28705,0.801,0.76273,0.84034,0.59459,1.09682,0.81169,1.29041,0.001274,0.001274,0.001274
57,747.046,1.18604,1.00657,1.29479,0.85377,0.79092,0.88697,0.65116,1.00424,0.66566,1.19903,0.0012608,0.0012608,0.0012608
58,760.177,1.15759,0.98189,1.27394,0.80868,0.81757,0.88529,0.64606,1.00772,0.69154,1.20519,0.0012476,0.0012476,0.0012476
59,773.17,1.12906,0.91856,1.27521,0.85691,0.79953,0.89596,0.6474,1.02873,0.65132,1.23269,0.0012344,0.0012344,0.0012344
60,786.151,1.16731,0.98634,1.28643,0.85216,0.80794,0.89245,0.66329,0.9937,0.65206,1.20264,0.0012212,0.0012212,0.0012212
61,799.233,1.14475,0.94486,1.27654,0.81901,0.84025,0.90251,0.67067,0.97459,0.62289,1.19241,0.001208,0.001208,0.001208
62,812.418,1.12075,0.92975,1.25389,0.84162,0.82459,0.90013,0.67139,0.97212,0.62946,1.18972,0.0011948,0.0011948,0.0011948
63,825.538,1.1596,0.95628,1.27752,0.84949,0.81363,0.90441,0.65641,0.99248,0.66372,1.19191,0.0011816,0.0011816,0.0011816
64,838.778,1.12909,0.9083,1.24867,0.84279,0.80893,0.90056,0.66436,1.00675,0.65611,1.1984,0.0011684,0.0011684,0.0011684
65,851.916,1.11291,0.93336,1.2499,0.85996,0.81128,0.90118,0.66833,0.97775,0.62957,1.1793,0.0011552,0.0011552,0.0011552
66,865.217,1.09123,0.9167,1.2384,0.87922,0.81441,0.90805,0.66614,0.99199,0.63575,1.1851,0.001142,0.001142,0.001142
67,878.25,1.11466,0.91398,1.25532,0.87963,0.83551,0.91849,0.69597,0.93141,0.57154,1.15603,0.0011288,0.0011288,0.0011288
68,891.436,1.0951,0.88158,1.2452,0.87619,0.82929,0.92611,0.69859,0.94971,0.5654,1.16609,0.0011156,0.0011156,0.0011156
69,904.551,1.11888,0.87251,1.26155,0.87149,0.8285,0.9172,0.6911,0.94276,0.56634,1.15013,0.0011024,0.0011024,0.0011024
70,917.471,1.07257,0.86118,1.22013,0.87144,0.8387,0.9222,0.70321,0.90719,0.56729,1.1323,0.0010892,0.0010892,0.0010892
71,930.458,1.09205,0.86937,1.23866,0.87467,0.82694,0.91608,0.70194,0.92002,0.5613,1.15161,0.001076,0.001076,0.001076
72,943.38,1.09225,0.91461,1.24558,0.88794,0.82694,0.92108,0.68808,0.94155,0.57727,1.17545,0.0010628,0.0010628,0.0010628
73,956.503,1.08033,0.8764,1.22777,0.87943,0.82694,0.9213,0.70246,0.9076,0.56888,1.14088,0.0010496,0.0010496,0.0010496
