epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2492,1.41609,2.12926,1.56077,0.38308,0.36392,0.33137,0.16462,1.55287,2.66354,2.05705,0.00066,0.00066,0.00066
2,30.923,1.46525,1.85628,1.60267,0.26124,0.35759,0.18997,0.08609,2.19605,2.49293,2.25236,0.00131791,0.00131791,0.00131791
3,45.0335,1.55747,1.84948,1.67667,0.33974,0.37975,0.25672,0.09892,2.09427,2.62785,2.36669,0.00196702,0.00196702,0.00196702
4,59.0576,1.54898,1.75278,1.66667,0.47646,0.4176,0.39737,0.17848,1.88424,2.38689,2.15867,0.0019604,0.0019604,0.0019604
5,73.0531,1.49575,1.69474,1.62838,0.56601,0.46224,0.41961,0.19356,1.90109,2.10352,2.15623,0.0019472,0.0019472,0.0019472
6,87.0261,1.46888,1.6134,1.59376,0.62376,0.51266,0.51467,0.24302,1.63521,1.96133,1.98,0.001934,0.001934,0.001934
7,100.972,1.4157,1.53684,1.56866,0.65975,0.54611,0.59423,0.32099,1.65592,1.61508,1.83012,0.0019208,0.0019208,0.0019208
8,115.047,1.34224,1.49074,1.52609,0.62178,0.59308,0.6449,0.37225,1.47508,1.45707,1.75107,0.0019076,0.0019076,0.0019076
9,129.028,1.32784,1.40595,1.48351,0.67384,0.57595,0.59613,0.3187,1.53255,1.56813,1.7048,0.0018944,0.0018944,0.0018944
10,142.948,1.29422,1.35613,1.47128,0.68976,0.65506,0.66467,0.39297,1.47656,1.48894,1.69277,0.0018812,0.0018812,0.0018812
11,156.947,1.28116,1.33818,1.44526,0.6831,0.65506,0.69525,0.41106,1.38273,1.37951,1.58081,0.001868,0.001868,0.001868
12,170.946,1.24722,1.27597,1.42665,0.78396,0.62342,0.69826,0.41269,1.43606,1.39101,1.64607,0.0018548,0.0018548,0.0018548
13,184.931,1.23552,1.27651,1.42421,0.71637,0.68354,0.68699,0.42372,1.26953,1.24467,1.50932,0.0018416,0.0018416,0.0018416
