epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4816,1.18141,1.96646,0.01754,0.5779,0.50352,0.47984,0.25896,1.63631,1.82721,0.03407,0.000661333,0.000661333,0.000661333
2,107.92,1.339,1.33128,0.0213,0.33113,0.37353,0.24679,0.10681,2.22999,2.89086,0.05087,0.00131924,0.00131924,0.00131924
3,147.509,1.43821,1.30484,0.02295,0.49645,0.44636,0.40305,0.19608,1.97626,2.03488,0.04495,0.00196834,0.00196834,0.00196834
4,186.936,1.41048,1.2558,0.02224,0.56734,0.45889,0.46195,0.24826,1.88878,1.82604,0.04503,0.0019604,0.0019604,0.0019604
5,226.391,1.34501,1.15312,0.02043,0.61849,0.50979,0.54822,0.31523,1.67944,1.71062,0.03563,0.0019472,0.0019472,0.0019472
6,267.251,1.2963,1.04351,0.02011,0.61392,0.51925,0.54483,0.31959,1.68455,1.59681,0.03632,0.001934,0.001934,0.001934
7,308.731,1.24565,0.98417,0.01911,0.57612,0.52545,0.50198,0.29927,1.63971,1.65512,0.03541,0.0019208,0.0019208,0.0019208
8,350.098,1.20854,0.95142,0.01823,0.61044,0.56617,0.56513,0.34755,1.62861,1.56875,0.03545,0.0019076,0.0019076,0.0019076
9,391.765,1.19335,0.88412,0.01804,0.69949,0.5278,0.59107,0.36023,1.58591,1.42766,0.03298,0.0018944,0.0018944,0.0018944
10,432.801,1.11683,0.83488,0.01662,0.62972,0.57798,0.58621,0.37612,1.52999,1.48834,0.0319,0.0018812,0.0018812,0.0018812
11,473.92,1.16381,0.84854,0.01779,0.67374,0.57009,0.61261,0.39836,1.5356,1.42071,0.03171,0.001868,0.001868,0.001868
12,515.023,1.08667,0.76953,0.01604,0.64201,0.53798,0.55854,0.35759,1.57647,1.58506,0.03228,0.0018548,0.0018548,0.0018548
13,556.14,1.09255,0.74121,0.0163,0.65188,0.5719,0.60298,0.40383,1.48723,1.46907,0.03091,0.0018416,0.0018416,0.0018416
14,597.35,1.03197,0.70719,0.01515,0.64562,0.55129,0.56993,0.37491,1.58581,1.56729,0.03325,0.0018284,0.0018284,0.0018284
15,638.457,1.04095,0.70416,0.0155,0.73009,0.55599,0.62065,0.4072,1.5177,1.47827,0.03131,0.0018152,0.0018152,0.0018152
16,678.205,1.01376,0.68269,0.01488,0.66764,0.55129,0.59331,0.39436,1.48958,1.49584,0.03091,0.001802,0.001802,0.001802
17,717.773,0.9975,0.66752,0.01479,0.71691,0.60454,0.6538,0.43841,1.46568,1.3642,0.02986,0.0017888,0.0017888,0.0017888
18,757.328,0.9757,0.64319,0.01448,0.7229,0.56383,0.63181,0.43133,1.41389,1.41395,0.02759,0.0017756,0.0017756,0.0017756
19,796.853,0.95158,0.61027,0.01405,0.72196,0.57952,0.63895,0.43321,1.47432,1.37881,0.0296,0.0017624,0.0017624,0.0017624
20,836.302,0.97405,0.64049,0.01424,0.70542,0.54659,0.58889,0.40158,1.50589,1.61466,0.03013,0.0017492,0.0017492,0.0017492
21,876.156,0.93623,0.57934,0.0141,0.7405,0.56982,0.61823,0.43095,1.4488,1.4253,0.02972,0.001736,0.001736,0.001736
22,917.183,0.90612,0.59868,0.01312,0.75816,0.57713,0.65222,0.46104,1.38804,1.38429,0.02692,0.0017228,0.0017228,0.0017228
23,958.507,0.92552,0.58266,0.01336,0.66464,0.57713,0.60505,0.42093,1.47654,1.46658,0.03067,0.0017096,0.0017096,0.0017096
24,998.729,0.90714,0.55502,0.01322,0.71495,0.54995,0.60706,0.42639,1.44472,1.45514,0.02994,0.0016964,0.0016964,0.0016964
25,1038.35,0.89553,0.55109,0.01307,0.73153,0.58464,0.63862,0.44197,1.43548,1.45151,0.02914,0.0016832,0.0016832,0.0016832
26,1078.8,0.85745,0.5185,0.01222,0.71362,0.5834,0.63502,0.44844,1.47993,1.48774,0.03016,0.00167,0.00167,0.00167
27,1119.91,0.86528,0.51962,0.01256,0.76604,0.53485,0.63785,0.46771,1.36363,1.53861,0.02699,0.0016568,0.0016568,0.0016568
28,1161.03,0.85573,0.53722,0.01219,0.7406,0.56539,0.6306,0.4563,1.39921,1.54968,0.0278,0.0016436,0.0016436,0.0016436
29,1202.25,0.84886,0.51494,0.01241,0.77265,0.5278,0.58997,0.4269,1.41622,1.58763,0.02856,0.0016304,0.0016304,0.0016304
30,1243.25,0.83102,0.52175,0.01173,0.72994,0.54424,0.61888,0.4535,1.38532,1.47356,0.02774,0.0016172,0.0016172,0.0016172
31,1284.34,0.82542,0.50503,0.01163,0.76639,0.56382,0.63867,0.46436,1.36626,1.45359,0.02719,0.001604,0.001604,0.001604
32,1325.48,0.80681,0.47157,0.01134,0.76269,0.54361,0.6322,0.45354,1.38773,1.4834,0.02831,0.0015908,0.0015908,0.0015908
33,1366.54,0.79328,0.48442,0.01138,0.7807,0.55754,0.65532,0.48105,1.35912,1.42579,0.02691,0.0015776,0.0015776,0.0015776
34,1407.56,0.78018,0.45661,0.01107,0.74995,0.57478,0.6474,0.47712,1.31345,1.48814,0.02591,0.0015644,0.0015644,0.0015644
35,1448.04,0.78249,0.44981,0.01089,0.72155,0.5905,0.64408,0.47152,1.37703,1.48013,0.02712,0.0015512,0.0015512,0.0015512
36,1487.49,0.76343,0.4351,0.01056,0.69426,0.53798,0.60517,0.4431,1.37984,1.54341,0.02782,0.001538,0.001538,0.001538
37,1527.01,0.75857,0.4628,0.01057,0.76761,0.51731,0.59354,0.43401,1.42667,1.61286,0.02927,0.0015248,0.0015248,0.0015248
38,1566.61,0.73274,0.42497,0.01004,0.71871,0.54659,0.62807,0.4729,1.36795,1.55321,0.02781,0.0015116,0.0015116,0.0015116
39,1606.05,0.71506,0.41641,0.00986,0.7089,0.59201,0.65012,0.48542,1.3466,1.51923,0.02675,0.0014984,0.0014984,0.0014984
40,1645.68,0.75082,0.41222,0.01026,0.74481,0.60063,0.65387,0.48016,1.3972,1.50961,0.02836,0.0014852,0.0014852,0.0014852
41,1685.98,0.73697,0.42636,0.01054,0.74346,0.54424,0.63099,0.48319,1.31888,1.66293,0.02631,0.001472,0.001472,0.001472
42,1726.57,0.71289,0.41086,0.01001,0.73283,0.55677,0.62683,0.46646,1.34517,1.55129,0.02698,0.0014588,0.0014588,0.0014588
43,1766.06,0.71848,0.4141,0.01045,0.75183,0.54111,0.63524,0.46943,1.36493,1.4529,0.02726,0.0014456,0.0014456,0.0014456
44,1807.51,0.72415,0.39055,0.00992,0.7941,0.52858,0.63745,0.48333,1.34284,1.61212,0.02683,0.0014324,0.0014324,0.0014324
45,1848.8,0.723,0.40942,0.01008,0.75951,0.58418,0.67267,0.49847,1.33839,1.43741,0.02655,0.0014192,0.0014192,0.0014192
46,1890.2,0.70298,0.39428,0.00972,0.79103,0.54245,0.6465,0.49235,1.31838,1.56255,0.02659,0.001406,0.001406,0.001406
47,1931.32,0.68135,0.38101,0.00938,0.79164,0.5278,0.64515,0.49802,1.34932,1.71902,0.0271,0.0013928,0.0013928,0.0013928
48,1972.42,0.68302,0.37587,0.00969,0.80502,0.57557,0.66621,0.50159,1.31433,1.37593,0.02598,0.0013796,0.0013796,0.0013796
49,2013.82,0.66637,0.36506,0.00926,0.75334,0.58496,0.67645,0.51253,1.32735,1.50549,0.02626,0.0013664,0.0013664,0.0013664
50,2054.97,0.66409,0.37638,0.00926,0.79776,0.53093,0.64524,0.49935,1.30268,1.53863,0.02625,0.0013532,0.0013532,0.0013532
51,2096.1,0.65401,0.35549,0.00891,0.73907,0.55896,0.60793,0.46339,1.33922,1.588,0.02652,0.00134,0.00134,0.00134
52,2137.33,0.64622,0.35582,0.009,0.76961,0.58071,0.66212,0.50366,1.34245,1.45816,0.02679,0.0013268,0.0013268,0.0013268
53,2178.54,0.63528,0.35498,0.00908,0.79069,0.56852,0.66325,0.50385,1.3298,1.40929,0.02683,0.0013136,0.0013136,0.0013136
54,2219.86,0.63906,0.34338,0.00861,0.77234,0.51605,0.62634,0.48207,1.38233,1.63662,0.02823,0.0013004,0.0013004,0.0013004
